gmap_id,review_count,review_text_count,response_count
0x54cd0104c51fec61:0x7e75ce39a3b779c1,84,53,0
0x54cd010c50b7cca1:0xfbb5d1f8667ec473,66,46,0
0x54cd01b18618e5d9:0xb144ee8b7564fd30,178,93,34
0x54cd0d02e3e375c7:0xbb08271ebc6f46c5,87,50,58
0x54cd0de5e37198b7:0xa69d8ffb27df8b56,98,70,33
0x54cd38c418c0dab3:0x66d9701c67415616,78,48,0
0x54cd72fe40933409:0x1f8b31a7cba0c3c8,110,50,0
0x54cd8b166fe637c5:0x85eb10064fc649bd,74,48,0
0x54cdc2425939f0b3:0x7d637a1a9ca10544,58,47,26
0x54cde0d0668247ad:0x6a7c186e8b292b58,67,46,0
0x54cde0d128354fa9:0x9f20c1a902a5a278,58,38,58
0x54cde544d6a99afd:0x7fd7b1ce07a458f9,58,25,0
0x54cde55d4891ec1d:0x42c765616470e0eb,68,40,0
0x54cde63a33d79dd9:0x47fca9189860cf8f,145,69,0
0x54cde6864a647391:0xf61ac474f4ab98f2,49,22,0
0x54cde68ba930be23:0x719b837fd6c09152,358,267,8
0x54cde6de378c3735:0x629321c6a2d57527,123,78,0
0x54cde6e0f709be6f:0x1075e5a90575fbf8,138,138,4
0x54cde70dd1ec011b:0x8893b6435c2c22ee,58,32,0
0x54cde72868493ca5:0x3bed623bec4c43e3,128,72,0
0x54cde7286edf3845:0x63d294dd22fc204b,84,69,0
0x54cde7287a2a2c7f:0x9c429da55b30b872,98,71,0
0x54cde7634bb4499b:0xdb3c606caa8f318,133,92,123
0x54cde8cc3bcd492f:0x6a25927d8ac2bf67,147,126,16
0x54ce1e8992fba04b:0x74eb10642cf7f893,87,52,4
0x54ce3cbd7abf63a9:0x7e47e42c2aed4823,56,40,0
0x54ce44b16087f439:0xc6d29567621d49d5,98,49,0
0x54ce44ba61806f53:0x54457b5e849ec3ce,54,40,0
0x54ce45c339e3a049:0x3fe8f125db9474a3,140,94,0
0x54ce45c35729c5f5:0xc5f17e35b948d3d0,76,50,0
0x54ce45c49f16e2cf:0x83e6b86c22d04c3d,78,40,0
0x54ce45d613e15fe5:0x44119609f38d89a1,188,178,0
0x54ce45d71f5925bf:0xbfd896a06d855a6d,96,59,2
0x54ce45da6fab0079:0x5d07899865199d5d,84,58,0
0x54ce45dad5e75de9:0x29d3d0bbf8f31a3e,54,30,5
0x54ce45db23e61d7b:0xc37f163cfa679eab,58,39,2
0x54ce467fa3c9ba69:0x45b7a5ca3bb1e174,87,57,1
0x54ce4680a0f9e79d:0xd65be1edea5019cc,54,33,0
0x54ce47155a9f8167:0xe29b030d40cc6a1b,78,56,0
0x54ce74c98e98b45d:0x7ccead6b8eadee09,66,45,0
0x54ce74d2f2e5b86d:0xe342ba79540e04d5,87,41,0
0x54ceb1458496b2a5:0x73f540d9a043c62b,164,89,0
0x54cec343c3fd098b:0x105d394271fad0ad,87,47,77
0x54cecb4896ccb3df:0x725a6c1801b7e8c,88,44,0
0x54cfcb0e1453cbaf:0x87446a0c39256217,54,37,0
0x54cfd7b80867d12d:0x7da6f9cdc9e7d0b5,124,86,0
0x54d013de807babe1:0xde5c0d7cae755bb1,78,42,0
0x54d057540adc2b03:0xa9c95d56460e95d6,4600,2826,0
0x54d059f4df315cf3:0x78bc951bfabb4f79,87,51,0
0x54d066028bdc9243:0x64e7de9cc491dd05,58,31,0
0x54d066186614a29b:0x13e5e662f23b4d95,54,27,0
0x54d0661bd3dbc103:0x44cd0256834a736e,118,79,89
0x54d066220a510885:0xf1ac457b67b59e14,75,52,4
0x54d06622cbb07bc9:0xee512875c6e50f60,375,225,44
0x54d06622d617bd65:0x2d926dc907f39109,58,51,14
0x54d0662b5e432e9f:0xf1e8dbe522d9b6e2,67,49,54
0x54d06630ce3a6caf:0x425baa1e2aa8e4b6,76,54,0
0x54d06636ea009e8b:0x5e0804c9028a77de,66,66,39
0x54d066372f0a4ee7:0xc510db607dca29a3,1012,540,0
0x54d06637e4754479:0xf72ea0d803f429c8,88,51,0
0x54d06639abc32631:0x4f3ad4a4b555e8fd,148,69,0
0x54d06639c0ff6a0f:0x867f7c41f184e34f,118,61,0
0x54d0663c0afbd52d:0x41f47e50738fc676,338,212,0
0x54d06649e1c1fef5:0x9bf58205cb39a9ed,73,51,4
0x54d0664bac731a71:0x1664eae4c9112a52,75,28,0
0x54d067cd20f06437:0x495f2eccc46d224c,178,137,99
0x54d067e6b520c605:0x511168af465bae5f,66,39,0
0x54d068a3a0ff51e7:0x7884ee0a058029f3,108,69,0
0x54d06bb6fccc3bc3:0xfceb0a0e0f03ecd7,58,37,0
0x54d06bfe2c0b1a3b:0x7cae439f3caeec4d,166,85,0
0x54d06e2837c5d58f:0xa01c6f72c5b493d7,294,178,0
0x54d06e8a5168ded1:0x463c2e488a532179,204,139,0
0x54d06f4d3aa9550d:0x20946d4d233e1167,97,65,19
0x54d07328bd43d4c7:0x58ac1f4f5633abd7,337,185,0
0x54d140e6ac8763a9:0x3e1690d13b511c35,57,35,0
0x54d14121d0ee30c3:0x72289fa298160500,88,58,0
0x54d143ee98738585:0xd40613b544d67ca5,74,64,56
0x54d143f1745013bf:0x4f590181cb626724,64,32,0
0x54d150aafa04dd85:0xe5e9ecda5de076c0,117,83,55
0x54d15538607d3d09:0xaa2e3d80efaa9cba,198,105,0
0x54d1555804d8a965:0x54ffa7f16f423a00,53,28,0
0x54d1555e5464711b:0x25bb75d11f29d161,62,42,0
0x54d15560a71d213d:0x55e6e0168b239965,54,19,0
0x54d155614735c8b5:0x9dc848dbd4e33f07,355,262,233
0x54d1556319663e55:0x21f2f8a38d0664fd,93,58,74
0x54d155631aec29d1:0xb9f02fa0745156fe,77,67,76
0x54d155639f4c3d1d:0x8dbd09a0b38c6ef,407,287,3
0x54d15563a771c8b5:0x852b921a4cdd8a01,74,43,0
0x54d15563da0175fd:0x6327208aec290e9e,98,64,19
0x54d15563e0ec2bb9:0xe11a1123039693ce,54,38,0
0x54d15564045bccdd:0x29f3fb9fc8e27e05,94,63,14
0x54d15564120fa1c9:0x4e5c032bf8b1d1e1,86,56,7
0x54d155647f140149:0x4b61b75f55e5216a,284,199,211
0x54d15564809aa74d:0x6cef05d6f08430bd,196,151,29
0x54d1556482bd8b1f:0xac47243ed66c1de3,58,30,30
0x54d1556515cc70ef:0x23fc935b3d283bff,117,71,16
0x54d155652ebff41b:0x2d2a49691f9392,128,82,25
0x54d15565307c7785:0x755ab8350730ae98,208,109,4
0x54d15565a7b1849f:0x9471bdb6481b98f,108,67,0
0x54d15565d42b6877:0xa3f308039d1f2e12,57,33,0
0x54d15566a1b05185:0x4ff013645f1b8092,56,34,2
0x54d1557ac90dde75:0x40c58f54ee05b963,98,53,1
0x54d1557af8c94103:0x5c6ed0211973c45d,68,49,0
0x54d1557b1f910933:0x10aabfd4d30f9530,153,89,0
0x54d1557b20ff787f:0x7eec0d7bece7041f,228,137,13
0x54d1557b2d9f48c7:0x938a3dc0b6f00764,68,40,0
0x54d1557c30c65e01:0x7b46a3e37754504b,58,49,7
0x54d1557c3e5c14c1:0x96670f94d4d56403,67,45,0
0x54d1557d735f68a1:0x1a669a1d215976ca,228,134,139
0x54d1557f12f24015:0xb296c90be4ead15d,253,154,73
0x54d1557fa51671bb:0x1165ba80544fb628,368,238,0
0x54d1557feb5d01b9:0x31467c8e9e6479ea,54,27,0
0x54d15580381d5903:0x583fd9c36052338a,58,35,0
0x54d15580b3f690b5:0x85e4ea13486fa7f7,58,26,0
0x54d1558196f2656f:0x89e9d105e0a31248,158,105,67
0x54d155b843be3da7:0x493f3917a163964,178,114,1
0x54d155e492a011c9:0x4b14e6d2fe342c2e,215,131,0
0x54d156a71ed4ee8b:0xd0e79a675bc43cef,68,37,0
0x54d15700d6d49a27:0xef211ab749236af7,75,51,0
0x54d157043c2dce1f:0x49169be277058a98,368,208,0
0x54d15705b4117b5b:0xb9cdc3084ffaeee,288,169,246
0x54d15705bd8bbba1:0xd510884aea4783fb,213,138,124
0x54d157068d684467:0xf21462776b69f43a,188,99,1
0x54d15706f1c2bcbb:0x37cbb1b23aa603ea,107,64,8
0x54d1570e4f8812eb:0x737e714b34b41793,58,38,0
0x54d1570f05e79a69:0x948a0e8b0e18379f,67,35,0
0x54d1570f093344b7:0x36b753725ed91385,86,47,0
0x54d1570f0ea004e5:0xb80bf02df56cd0c3,128,81,6
0x54d1570f2191f5e7:0x284c39614299bc3b,58,37,0
0x54d1570f904c4fdb:0x37ea94f8a576b7e7,228,129,0
0x54d1570fa0516a95:0x57755ed452703702,117,61,0
0x54d1570fb60da655:0x38e0e486b7ba0fbd,477,262,0
0x54d1570fc46166b5:0x214121ab7d54d1cc,83,50,0
0x54d1571243f1f1dd:0x10cad77a1a7377b2,67,47,0
0x54d1573d372f0bad:0x6da781de94e5f010,95,64,76
0x54d15744c6ac11fb:0x457ec5794edf3771,88,38,0
0x54d157457e8f9e95:0xfee47464a8f36889,105,65,0
0x54d1575285115d49:0x33c0b71780393b45,88,70,29
0x54d1576d726b6a67:0x35bf49fa6901b95a,173,71,0
0x54d157a50bb8659f:0x417cdad4d6506437,143,104,1
0x54d157db4c9455b5:0xbe3a0ae6aad28fe0,58,40,0
0x54d1585835199993:0x32c2aa6a06e5db66,93,47,0
0x54d15a00f6e94c29:0x17fd570b2474b07,245,163,0
0x54d15a0224126b49:0xdf9edc5ed8019e96,58,36,1
0x54d15a03da9cca29:0xdd7fee708fc3210d,98,70,54
0x54d15a8b82cf4453:0x8fa13399c5f9c5a0,76,55,58
0x54d15a92fb9d1685:0x414ef8266b68d32a,74,46,0
0x54d15ac5f0f3b917:0x63a84404737f37e7,78,46,0
0x54d15aec28493869:0x67e4c7c4a0910adb,288,161,0
0x54d15aed0cd7e021:0x8015014d983dd94a,88,59,11
0x54d15aed7358a835:0xbcffe68f68cd658d,78,41,0
0x54d15af280c56b85:0x9a8e8bfcd6fbfcb6,128,80,0
0x54d15af2cc0de619:0x40032b3fa93cd3fb,94,57,11
0x54d15af3237ad5c3:0x4a77f7a90abdb4b9,182,121,29
0x54d15b62b40f341d:0x371e75c4d54d786c,198,120,5
0x54d17b382be1d91b:0x7713172af5003593,68,38,0
0x54d2074269ebb161:0xb00d38392af913a6,168,86,0
0x54d213388bbb908b:0x1a287d3bfe9a6833,56,42,1
0x54d2521896a274e7:0x2eec58132f6d6412,114,74,0
0x54d2521b89e9813d:0xea292aa8141bf441,94,63,0
0x54d2521eaa51b789:0xb55af3921011559e,58,26,0
0x54d2522409355abb:0xe9c8cf2da3155f5c,96,59,0
0x54d25224094a28d7:0x943bc32678e13ffe,95,46,8
0x54d253cd16fe3ae5:0x4a0b293f0c1b96af,98,64,28
0x54d254a2073922cb:0x3387459c63819e4,135,66,0
0x54d258ae9c0bd76d:0x88c818a5fd6c2af4,87,60,0
0x54d27a351b29aba9:0x25e9d5cde1377530,52,22,10
0x54d27a35ad47015b:0xfe2f7ecd4590fb,98,70,0
0x54d287613e8e94c3:0x279e4a8aabd4648b,74,38,0
0x54d28b7b53c83abb:0xc6dcd2ec9a4cf9b4,101,65,0
0x54d28bc6f76e861b:0x480d662d75f7fb7d,78,39,0
0x54d28d69585c6887:0xe9eb87974b0944e8,56,34,12
0x54d28d76ef44f9f7:0xe5752f3084c179dc,183,89,0
0x54d28d7a1b1acd47:0x707faf2293fdbab6,78,46,18
0x54d2925ac86012e3:0x143b574d4f9a1ca,94,64,0
0x54d2927e352862b9:0x5e9df98b20113492,97,41,0
0x54d292b438fa69ed:0xe30a3fd467af9cec,102,64,0
0x54d292b8714a2765:0x25f8cab424690130,56,34,0
0x54d292ba7a1c0505:0xb96e42734aa895e1,58,28,0
0x54d292ec6865264d:0x7a2a44cd97428f0,324,208,20
0x54d2932a0d731541:0x307b61be6591f1ae,118,75,3
0x54d2932a4ac5b14d:0x23e6ec3135c7f135,226,155,0
0x54d2932d6cbb5139:0x3584eaca337e9d03,215,88,0
0x54d2932d6cbb5139:0x8b9650094fc78945,68,44,0
0x54d2932d6cbb5139:0xfee7cd0c086d405b,68,41,0
0x54d2932e7633e4d3:0x89c60dabed3d0c57,194,132,41
0x54d29331867053b3:0xbdd3a62a379438f9,146,114,24
0x54d2933187adce8d:0xb53836d8a817cbfa,76,45,3
0x54d293318812fd81:0x1ccd68319c62fc05,257,207,176
0x54d293327ff446fd:0x9e0b0346f57c02fb,67,45,4
0x54d2933287f92de7:0x1d6a002babab6b0c,88,60,0
0x54d29332c32bf87d:0xdfe9ed95339ce849,203,129,46
0x54d29332d1661a25:0xdc0d8afe53105562,113,75,0
0x54d29333053b2531:0xdac21a966ad20da3,1525,795,0
0x54d29333adf39727:0x8d55031ff7e89115,93,54,0
0x54d29333b3ff2583:0xa4c448dcc281f718,87,46,8
0x54d29336cdaf31c9:0x90f7e5025e3d7e66,74,40,0
0x54d293a3ee3c5377:0x60816179db98b600,118,62,0
0x54d293dfc9d8ff5b:0xf437bb08ba75c7f9,56,41,1
0x54d2944ea7c764e9:0x3495e6456d6df90a,197,87,119
0x54d294b7b1702191:0x2d57fa4b4cd024eb,175,89,44
0x54d2a592e2e2d15f:0x65bfc182f79addbc,97,52,0
0x54d2c1049d062a3b:0x3feff51e3b8e3ef5,76,23,0
0x54d2c1069f3d44e7:0xdcd9b468429d18ae,58,26,0
0x54d2c155d04a2c51:0x63bdce0347428f52,195,95,42
0x54d2c1566e696727:0x75352de9bd2f7772,558,286,0
0x54d2c1574d82403d:0x33e554d8eb0612e7,68,61,49
0x54d2c16097dcb71d:0x1c9b1f4325598738,307,141,78
0x54d2c165f6856fdd:0x931283ff41cf31ff,388,212,291
0x54d2c167232e9ef1:0x9e78b72042a7f04d,192,104,0
0x54d2c16863f27af7:0xec36631dcca61693,74,55,54
0x54d2c16864bcc617:0x88e1f1187bc474c9,57,38,1
0x54d2c186fd5448b1:0xb2f7b5628eaebae2,66,60,11
0x54d2c1d451e6dfe9:0xb7cef7a7ade1a6aa,57,56,0
0x54d2c39bf94a047f:0x3a69a8e21bbe6adb,158,115,71
0x54d2c3fe2941f3d5:0xf3ed7916b38076f9,138,82,3
0x54d2c449ee2c0987:0xd71444d028d5294d,57,41,0
0x54d2c4e324849907:0x5d74c803f32ae275,64,44,0
0x54d2c5afa2e98e7b:0x474ae329c2215605,74,52,24
0x54d2c8b24bf33fb3:0x708201bfac8ca454,172,153,116
0x54d2e88c4b73a6b9:0x6708c67e85b24722,198,125,0
0x54d2e9f7e1cbfec3:0xacda0d42840abb60,78,44,1
0x54d2ea2c772d66c1:0xcd55c94ed7e4fd28,78,45,3
0x54d2ead5366f86e5:0x9f8558e20d50acee,175,96,0
0x54d2eb0e8ee16325:0xeae8a70e88edbbc2,260,177,0
0x54d2eb14b3c38cf1:0x98dfcd187963d49e,94,76,88
0x54d2eb2d358a17d3:0x48d4ac9d0e6e4603,105,77,0
0x54d2eb43f012f1f7:0x5e542769687a96d9,194,163,138
0x54d2eb57e7c00001:0xc8b9febede5bf2a7,164,90,1
0x54d2ebc0646ee2f1:0x3b8e8fc86a040af5,143,90,0
0x54d2ebcfc040ef71:0x3105ebf41455e9de,72,52,0
0x54d2ebcfc410ee69:0x6547b1f95aa9ada9,88,49,0
0x54d2ebd3089bf21f:0x539044bb12e4f318,58,42,0
0x54d2ebea085f8ce9:0x482b808948822982,58,31,0
0x54d2ec79ce5201b9:0xc853366ab0b4c7a0,88,41,0
0x54d2ec7b9ba20973:0x2e5bbe106966f9f6,910,482,160
0x54d2ec89eba9de71:0xb7cf4d1e2e4f947a,130,89,1
0x54d2ec8a61973b91:0x352452f5d79d44d8,111,64,5
0x54d2ec95ba0d2609:0xe5e1d044441a8d7a,53,37,0
0x54d2ec96b055ee3d:0xb9a2cf7aee730395,220,127,0
0x54d2ec9af6372bc7:0x608089ec4ec86a8e,76,64,76
0x54d2ec9db45f63cb:0x3b0966b033f3c9b6,58,44,0
0x54d2eca03bb34793:0xe0ee3e862a45f8cd,68,46,0
0x54d2eca148a31c41:0xf6222c1ffaeb58cb,64,38,0
0x54d2eca15ff3b02b:0x8015969b73b42ff9,55,31,37
0x54d2eca38b3997c5:0x74ce7f1f02ba2189,146,86,0
0x54d2eca3c54db039:0x9cf178eca06e1e71,75,46,0
0x54d2eca3ec2303ed:0x6210353a1dbeaaa5,337,212,0
0x54d2eca80a58c727:0x2c69772c22e84e97,54,35,12
0x54d2ecadc06b3ca5:0x42954c6c6f614bf6,56,33,0
0x54d2ecadcbfce5fd:0xaa2e5eb062619c0e,256,183,3
0x54d2ecb0801a39f7:0x7872644c49afed3a,106,43,0
0x54d2ecb09f8f04c9:0x563ed1517729451,58,42,2
0x54d2ecb0fb765f5d:0x1f4452e4966d815d,128,72,0
0x54d2ecb6508ddc23:0xf61487f60f43e974,97,65,0
0x54d2ecb71c9c9b31:0xa94e635157eb9eed,607,539,0
0x54d2ecb75aad4331:0x8688431307309e31,55,36,16
0x54d2ecb77cac34d7:0x86f2f596c1ab1650,148,98,0
0x54d2ecb7f57a4b0b:0x7e5a279bfe11e5a4,129,77,0
0x54d2ecb7fe7b948f:0x82ba9605c289a0c,145,100,23
0x54d2ecb961dc8919:0x3221136918654869,508,279,0
0x54d2ecb969b41a45:0x56e3bcad63a4783b,78,49,0
0x54d2ecb9f927234b:0x80833633c40dc5e5,87,58,39
0x54d2ecba3e3e183f:0x9c02f88e5c3f72df,551,479,190
0x54d2ecbc2b902889:0x6d770434b400d4c0,154,96,52
0x54d2ecbc4905fdd5:0xc33ee119ae3f528a,58,44,0
0x54d2ecbcf2e7db23:0x283c22683f2efb3f,925,473,12
0x54d2ecbd07cadcc5:0x6d87221387c17e81,144,111,8
0x54d2ecbe38c5fc21:0x236ca48a33a9e643,55,47,0
0x54d2ecbe5ab770fb:0x7b53821f6d820cb0,64,33,0
0x54d2ecbe92253c4d:0x82dfd35ee2744bbc,98,72,0
0x54d2ecbe9fac4737:0xb84fa20d33629935,138,77,1
0x54d2ecbee08d88ff:0x4deef6604c432724,159,157,11
0x54d2ecc847bcf55d:0xa5f2e4fc0752f774,74,68,59
0x54d2ecc9df8d6079:0x39bb95f2ee3deca9,78,59,0
0x54d2ecca31e58827:0xff2408fb9eeb806a,74,46,67
0x54d2eccc3a3b651b:0xd9d75b7aa5f1146a,247,182,61
0x54d2ecccf68a364d:0xffe8ca5f3b35db3d,290,175,3
0x54d2ecce2a17e997:0x4ca470835ce8c657,207,107,0
0x54d2ecd2cca17e7b:0xb5978d3f73c2000f,113,76,47
0x54d2ece0bec00001:0x6d4d5b51a8f627f1,53,25,15
0x54d2ece1cf9c193b:0xedfcf87eaaaf9490,58,35,0
0x54d2ece325cad669:0x6e9e1e31dd2678f4,76,32,0
0x54d2ecea5d01b919:0x5988ce279e53c2a6,98,71,43
0x54d2eceba76b6d4f:0x6e1f6d79af4e56b4,136,75,0
0x54d2ecec30975c77:0x2dda27e679a65ffd,55,30,0
0x54d2ecec398a7c1f:0xe59f200ca6ba13f1,88,42,0
0x54d2ecef79341c07:0x4e891699c4c59545,97,64,0
0x54d2ecf2d78b9007:0x1ffb2d0c03ba720d,588,401,1
0x54d2ecf49fd1efc5:0x274d8a4ead8807,248,158,28
0x54d2ed04b3dc870b:0x27b45d9f8e3c6945,338,198,193
0x54d2ed04c736109d:0x7f9769b0cf11e3a,408,240,0
0x54d2ed07c3042369:0x3cfa5749bfc134ec,58,40,0
0x54d2ed1718927b3f:0x51aa5b412706141a,68,39,0
0x54d2ed1c2ba64fe1:0xc25ff3ec73c557fc,70,43,3
0x54d2ed1c809d1c5b:0x7d3e35b27baedb33,277,177,46
0x54d2ed1dcdd2595f:0x7d3b8ff47bd4bca9,68,59,48
0x54d2ed1e2cc538b9:0x2a1abbb850dd9fcb,86,63,9
0x54d2ed1e32916aa5:0x44fa5f098b2353b6,82,50,0
0x54d2ed1e882e1071:0xb6acdb3f9ee73936,58,35,0
0x54d2ed1ede979abd:0xe73ea8821ffc8046,70,54,1
0x54d2ed1f19aeeb1d:0xbe5eb44142f924c3,208,98,0
0x54d2ed1f9336848f:0x9d30baefcae5e549,57,46,56
0x54d2ed20abc42bd5:0x1b84f1c168710943,318,179,7
0x54d2ed3de4df4a1b:0xd978f450fd4b062,206,96,15
0x54d2ed4b742dc249:0x8239b105b2fe04ad,88,68,0
0x54d2ed569632d2c9:0xbf7692b700361852,88,51,63
0x54d2ed5fae512735:0xd614d4751fa135bb,158,112,96
0x54d2ed84f4f02a4d:0x700f194ced4f0d17,198,175,3
0x54d2ed865c6bd05f:0x7aec1e51a9ef9892,75,53,0
0x54d2eda61de89041:0xda8d2f891bece46,88,53,1
0x54d2f2aacde3e0f5:0x2c2c8c2897fd0a29,135,87,11
0x54d36440c0924bed:0xebcc0870ae688cd9,54,24,0
0x54d3a720664f6e79:0x80e32d36e210b9f0,55,40,0
0x54d3d9853e36314f:0x98b89bdc82deea81,95,66,1
0x54d3da8eeec23e9f:0xdf2a5be6587c55ff,76,43,0
0x54d3f94a1a8d0061:0x6b6591bfdec22e3,128,61,0
0x54d3fe25c2326c19:0xb776648bd9c0c901,58,49,0
0x54d3fe286609858f:0x7c16cee97cac1c79,68,48,0
0x54d3fe2a5b4c4c59:0x591d3c2257c0de32,158,105,97
0x54d3fe352bfe24e1:0xeba17f7ace775527,134,46,0
0x54d3ff0b7f7681bb:0xf6e4c1046f0427a3,54,38,0
0x54d3ff3e829bd921:0xbb8d06400674e9be,138,119,0
0x54d3ff9354b0c555:0x5117978cff97a911,128,67,108
0x54d3ffb3d4979371:0x529052e286212d53,126,68,0
0x54d3ffb3da2ad371:0xd36a2de8716eb82c,306,191,111
0x54d3ffb4762df50b:0xcc313b488133fca8,68,55,0
0x54d3ffd2e125cde7:0xfc8a358f3d305017,360,318,347
0x54d3ffd45773c5a1:0x990250c5f4e72a76,64,48,0
0x54d3ffd4618d065b:0x8742a1de540739e7,55,36,0
0x54d3ffd463931899:0x77f7d0e3ca6ab964,78,50,69
0x54d3ffe26cea84fd:0x587960f92464e83b,78,54,0
0x54d3ffe2f9654989:0x2e4f5c5cbfb8aec7,148,89,5
0x54d3ffe302ff6b99:0x3f180dd2c57009b4,195,142,135
0x54d3ffe424e6fd95:0x7600a4d43dd2dea8,126,49,0
0x54d3ffec5766730b:0x4d7394da7b2cb609,114,59,0
0x54d3ffecca610871:0x29d5b70d2e706720,58,47,57
0x54d3ffecfcb15eab:0x873261cec689242,114,67,0
0x54d3ffed06abf391:0x70cac0c823b530b3,68,45,0
0x54d3ffedb2edf533:0xf7d2328d148ade06,486,320,94
0x54d3fff15753699f:0xacfe7a6c93523ce6,236,161,0
0x54d3fff6e5e576df:0xe5d71553e8f5457,73,42,0
0x54d3fff804f4bfb5:0x1da316c3106c424d,318,208,53
0x54d3fff824c564af:0x34fe8b1db0478943,127,86,28
0x54d3fffd338d22cb:0x5aa2882a4fbc2ff9,78,56,75
0x54d40005ffdc71e9:0x3d49d3383f75cda4,58,27,0
0x54d400063ed0d759:0x811839d88968faf8,1898,969,0
0x54d400080cd31065:0xb77af34c26813996,244,135,165
0x54d4000810cde343:0x144f867433fa0966,56,40,1
0x54d4000d8c00fadd:0xefed0ca30a1459cc,208,135,3
0x54d4000e7a501ac9:0x1a9bc44eef44625e,98,71,0
0x54d4000ec5e3a9d3:0x2ea794c195964b7,327,164,0
0x54d400233568841f:0x9197f72688f164c6,144,81,0
0x54d40034a7e7c323:0x8f71e31dad6417c6,172,91,0
0x54d4006cce6e4b67:0xb4bf09f78e087835,68,42,35
0x54d400a3503bf3cb:0x6f54a8d273995ade,64,57,52
0x54d4010337fa9061:0x2021e93adb3a5ade,128,88,0
0x54d4016918ab5f79:0x37108fa5e00a9e9b,56,22,0
0x54d4016a22a5ae23:0xaa706c5cf8e63195,178,105,0
0x54d401b32b29a39f:0xa3165cc3e728f22b,58,52,40
0x54d401cb73183657:0xa75cbba3630df614,64,40,0
0x54d401e2c3c45377:0xcdaa468b6d2960e1,106,74,35
0x54d40d806271d8e3:0x69033dff24b4760b,57,39,0
0x54d40e08581cd775:0x348f7c54889b4abb,207,124,103
0x54d40e77fda74b37:0x4aa32649214d268e,58,39,0
0x54d410e194ac29bd:0x32387d0bbb41ca9a,156,105,81
0x54d410e3cc5c41ad:0xa529e23dc20c123,58,34,0
